"ID,N,4,0","WIDTH,N,17,15","HEIGHT,N,17,15","AREA,N,17,15","PERIMETER,N,17,15"
115,"0,030299","0,029443","0,000892","0,119483"
116,"0,035605","0,065048","0,002316","0,201307"
117,"0,023109","0,025677","0,000593","0,097572"
118,"0,018659","0,017803","0,000332","0,072922"
119,"0,016604","0,02619","0,000435","0,08559"
120,"0,051183","0,057687","0,002953","0,21774"
121,"0,028245","0,028416","0,000803","0,113321"
122,"0,018915","0,019429","0,000368","0,076688"
123,"0,011127","0,015235","0,00017","0,052723"
124,"0,027731","0,032866","0,000911","0,121195"
125,"0,024136","0,030983","0,000748","0,11024"
126,"0,03047","0,051183","0,00156","0,163305"
127,"0,025163","0,043137","0,001085","0,136601"
128,"0,039542","0,047588","0,001882","0,174261"
129,"0,010699","0,017204","0,000184","0,055805"
130,"0,028073","0,029443","0,000827","0,115033"
131,"0,024821","0,024136","0,000599","0,097915"
132,"0,028929","0,025677","0,000743","0,109213"
133,"0,022938","0,029785","0,000683","0,105447"
134,"0,036461","0,026704","0,000974","0,12633"
135,"0,016519","0,018316","0,000303","0,06967"
136,"0,034749","0,029785","0,001035","0,129069"
137,"0,042795","0,039885","0,001707","0,165359"
138,"0,026362","0,020713","0,000546","0,094149"
139,"0,017118","0,024821","0,000425","0,083878"
140,"0,019001","0,03338","0,000634","0,104762"
141,"0,026533","0,022938","0,000609","0,098942"
142,"0,028758","0,028416","0,000817","0,114348"
143,"0,015577","0,025335","0,000395","0,081824"
144,"0,013866","0,020884","0,00029","0,069499"
145,"0,022938","0,027218","0,000624","0,100311"
146,"0,032011","0,02619","0,000838","0,116402"
147,"0,029614","0,037146","0,0011","0,13352"
148,"0,01746","0,021483","0,000375","0,077887"
149,"0,031326","0,028929","0,000906","0,12051"
150,"0,028587","0,020542","0,000587","0,098257"
151,"0,065652","0,129252","0,008486","0,389808"
152,"0,046503","0,049581","0,002306","0,192168"
153,"0,03881","0,033681","0,001307","0,144981"
